Position,GC,MluCI,NlaIII
100,28.5,2,0
300,33.0,2,0
500,27.5,1,0
700,39.0,3,0
900,35.0,3,0
1100,34.0,4,0
1300,35.5,1,0
1500,34.5,2,0
1700,30.5,3,1
1900,39.0,2,0
2100,32.5,1,0
2300,39.5,5,1
2500,29.0,5,0
2700,33.5,2,1
2900,38.0,1,0
3100,41.0,2,0
3300,35.0,5,3
3500,36.5,1,1
3700,37.0,2,0
3900,37.0,4,0
4100,38.0,4,1
4300,39.0,3,0
4500,38.0,3,0
4700,38.0,2,0
4900,31.5,2,0
5100,30.0,1,0
5300,31.0,2,1
5500,34.5,1,2
5700,40.5,1,0
5900,29.5,2,1
6100,41.0,1,1
6300,42.5,2,0
6500,49.0,0,0
6700,42.5,1,0
6900,46.5,1,0
7100,36.5,0,1
7300,44.5,0,1
7500,45.0,2,0
7700,43.0,1,1
7900,40.0,1,0
8100,36.0,3,1
8300,39.5,1,0
8500,43.5,1,0
8700,42.5,2,0
8900,43.5,1,0
9100,45.0,0,0
9300,44.5,0,0
9500,43.5,2,1
9700,44.5,0,1
9900,45.5,0,0
10100,28.5,3,1
10300,35.5,1,0
10500,39.5,4,0
10700,49.5,0,0
10900,47.5,1,1
11100,48.0,0,5
11300,45.0,1,0
11500,49.5,3,0
11700,37.5,0,0
11900,39.5,0,0
12100,37.0,2,1
12300,30.5,3,0
12500,41.5,0,0
12700,42.5,1,0
12900,43.5,0,1
13100,34.0,3,1
13300,48.0,1,0
13500,42.5,1,1
13700,47.5,0,1
13900,40.5,0,0
14100,42.5,2,0
14300,43.0,1,1
14500,45.0,1,0
14700,43.5,1,1
14900,38.5,0,0
15100,51.5,0,1
15300,41.0,2,2
15500,29.5,4,1
15700,34.5,0,0
15900,35.0,3,0
16100,39.5,1,1
16300,48.5,0,0
16500,41.5,3,0
16700,36.0,1,0
16900,34.5,2,0
17100,32.0,2,0
17300,37.5,1,0
17500,43.5,0,2
17700,39.0,2,0
17900,42.5,2,1
18100,36.5,0,0
18300,43.0,0,2
18500,40.5,2,0
18700,40.0,1,0
18900,46.5,1,0
19100,43.0,1,1
19300,42.5,3,0
19500,39.5,1,0
19700,35.0,0,1
19900,37.0,2,0
20100,33.5,1,0
20300,44.5,0,1
20500,46.5,0,0
20700,31.5,2,0
20900,32.5,2,0
21100,30.0,2,0
21300,41.0,1,2
21500,38.0,0,0
21700,36.5,3,0
21900,43.0,2,0
22100,33.0,0,1
22300,41.5,1,0
22500,35.5,2,0
22700,28.0,2,0
22900,38.0,2,1
23100,33.0,1,1
23300,31.5,3,0
23500,37.0,1,1
23700,33.5,2,1
23900,35.5,0,0
24100,44.5,2,2
24300,41.0,0,0
24500,42.0,1,2
24700,34.0,2,1
