Position,GC,MluCI,NlaIII
100,34.0,2,1
300,34.0,2,0
500,39.0,1,0
700,39.0,1,1
900,39.5,3,0
1100,37.0,1,1
1300,29.5,5,2
1500,24.0,2,1
1700,28.5,6,0
1900,32.5,6,0
2100,37.0,3,0
2300,37.5,1,0
2500,38.5,0,1
2700,39.0,2,1
2900,32.5,3,2
3100,41.0,1,0
3300,41.0,2,0
3500,37.5,3,0
3700,39.0,4,0
3900,43.5,0,1
4100,35.5,5,1
4300,33.0,1,0
4500,35.5,2,2
4700,30.0,1,1
4900,34.5,2,0
5100,36.0,1,0
5300,34.0,4,0
5500,32.5,2,1
5700,28.5,2,1
5900,29.0,6,0
6100,30.0,2,3
6300,36.0,3,1
6500,37.0,1,0
6700,42.5,1,0
6900,36.0,2,0
7100,43.0,0,0
7300,38.5,2,1
7500,37.0,0,1
7700,39.5,2,0
7900,36.0,5,1
8100,29.5,5,0
8300,28.5,3,0
8500,34.0,2,0
8700,35.0,5,0
8900,33.5,2,0
9100,30.5,5,0
9300,34.5,4,1
9500,33.5,1,1
9700,32.5,0,0
9900,31.0,1,0
10100,34.5,3,0
10300,34.5,2,2
10500,34.0,5,1
10700,42.5,2,1
10900,32.0,4,0
11100,30.5,2,0
11300,35.0,2,0
11500,27.5,5,0
11700,30.5,3,0
11900,34.5,2,3
12100,29.5,4,0
12300,33.0,2,0
12500,37.0,2,1
12700,36.0,1,0
12900,47.5,0,0
13100,45.5,1,0
13300,42.0,1,0
13500,40.5,3,1
13700,42.0,2,1
13900,35.5,4,1
14100,37.5,1,1
14300,36.0,4,2
14500,37.0,1,1
14700,32.5,1,1
14900,45.0,2,0
15100,37.5,2,2
15300,39.0,4,0
15500,40.5,1,1
15700,36.0,2,0
15900,39.0,1,0
16100,33.5,1,0
16300,35.0,0,0
16500,49.5,0,2
16700,56.5,0,0
16900,51.5,0,0
17100,49.5,1,1
17300,53.0,2,1
17500,52.5,0,1
17700,54.5,0,2
17900,53.5,0,0
18100,40.0,1,0
18300,51.5,0,0
18500,45.0,0,0
18700,52.5,0,0
18900,53.5,0,3
19100,47.5,2,0
19300,45.0,2,0
19500,52.5,0,0
19700,43.0,2,0
19900,50.0,0,0
20100,52.0,2,0
20300,48.0,1,2
20500,54.0,0,0
20700,59.0,0,0
20900,48.5,1,1
21100,40.0,1,1
21300,47.5,1,3
21500,30.0,0,0
21700,37.5,1,0
21900,34.5,1,0
22100,38.5,1,0
22300,36.5,2,1
22500,37.5,1,0
22700,37.0,1,1
22900,40.0,1,1
23100,30.5,2,0
23300,25.5,6,0
23500,29.0,5,1
23700,23.0,6,0
