Position,GC,MluCI,NlaIII
2500,35.68,59,15
7500,34.32,61,11
12500,36.48,59,16
17500,46.46,21,13
22500,39.94,39,15
27500,35.58,36,8
32500,40.06,36,16
37500,36.74,44,18
42500,37.14,49,19
47500,39.58,45,15
52500,42.7,34,6
57500,41.12,36,26
62500,36.2,53,12
67500,42.2,35,19
72500,41.78,41,10
77500,44.46,24,27
82500,41.12,43,19
87500,44.06,33,16
92500,44.58,26,14
97500,46.1,20,29
102500,40.34,27,13
107500,41.46,38,17
112500,41.86,29,17
117500,42.44,26,12
122500,42.6,17,28
127500,39.32,25,9
132500,40.08,37,10
137500,39.96,32,19
142500,41.32,27,16
147500,38.42,43,15
152500,35.26,39,14
157500,30.08,68,8
162500,33.68,43,8
167500,42.66,21,25
172500,41.84,27,12
177500,40.68,40,20
182500,28.56,100,6
187500,32.94,63,8
192500,40.12,33,11
197500,42.94,32,16
202500,40.26,28,18
207500,41.02,40,10
212500,38.54,36,21
217500,44.16,20,16
222500,41.38,35,14
227500,39.32,36,12
232500,42.74,28,8
237500,41.9,27,12
242500,40.66,43,9
247500,38.94,32,15
252500,39.7,41,22
257500,33.14,71,17
262500,35.32,56,14
267500,40.46,45,12
272500,41.0,36,26
277500,41.96,36,17
282500,44.04,32,23
287500,40.46,32,13
292500,43.1,33,19
297500,40.54,37,19
302500,42.96,23,21
307500,40.96,24,13
312500,43.14,21,17
317500,33.36,49,8
322500,32.48,64,13
327500,32.94,59,16
332500,38.56,32,15
337500,39.94,36,16
342500,40.32,30,17
347500,39.46,40,11
352500,39.98,39,9
357500,42.12,33,20
362500,38.64,33,11
367500,31.1,73,16
372500,35.12,57,14
377500,39.2,28,12
382500,42.52,19,24
387500,40.46,29,8
392500,42.2,33,17
397500,38.4,41,18
402500,41.84,27,18
407500,39.96,36,17
412500,37.34,54,12
417500,37.62,55,13
422500,43.2,32,10
427500,43.14,27,22
432500,41.86,42,10
437500,42.36,21,16
442500,43.28,35,21
447500,38.48,36,16
452500,44.22,35,16
457500,40.62,32,14
462500,37.98,43,13
467500,40.78,23,17
472500,40.24,27,21
477500,36.92,42,13
482500,37.82,52,12
487500,42.04,24,23
492500,35.14,53,8
497500,35.16,67,14
502500,39.32,37,11
507500,41.82,33,13
512500,41.3,27,15
517500,39.58,42,15
522500,40.4,30,16
527500,34.28,58,12
532500,35.28,63,10
537500,39.84,32,9
542500,41.38,29,15
547500,38.76,45,12
552500,34.58,39,12
557500,35.76,49,21
562500,43.04,30,29
567500,41.96,32,10
572500,42.98,32,19
577500,36.26,57,7
582500,35.3,68,14
587500,40.92,34,8
592500,41.58,34,11
597500,43.98,32,15
602500,39.3,28,10
607500,41.32,38,10
612500,42.1,30,21
617500,39.3,43,14
622500,42.32,33,17
627500,42.54,32,12
632500,40.46,20,11
637500,36.82,29,12
642500,34.22,53,12
647500,36.74,38,15
652500,43.3,30,26
657500,39.9,38,17
662500,40.72,33,14
667500,42.02,27,17
672500,37.84,33,17
677500,41.28,34,12
682500,43.38,27,24
687500,38.98,41,14
692500,40.84,31,14
697500,31.16,64,12
702500,36.32,48,15
707500,39.14,30,15
712500,39.36,40,15
717500,39.22,42,12
722500,42.06,28,22
727500,39.86,38,18
732500,42.26,15,21
737500,40.48,46,13
742500,39.68,38,15
747500,40.08,33,19
752500,40.14,41,19
757500,39.8,42,13
762500,39.84,34,16
767500,39.0,37,12
772500,40.94,42,17
777500,40.04,28,23
782500,41.14,35,23
787500,39.08,39,20
792500,40.6,32,21
797500,36.26,44,8
802500,38.02,41,10
807500,40.74,41,15
812500,41.32,32,19
817500,38.7,48,11
822500,39.02,37,14
827500,42.72,35,14
832500,40.46,43,16
837500,41.6,30,17
842500,37.3,53,9
847500,39.92,44,16
852500,42.26,36,18
857500,32.82,49,9
862500,42.72,29,18
867500,42.16,19,19
872500,37.6,45,16
877500,35.76,64,14
882500,38.5,33,14
887500,40.2,41,16
892500,36.74,32,11
897500,41.66,24,16
902500,39.5,30,15
907500,40.82,25,18
912500,41.52,24,21
917500,39.2,44,22
922500,43.7,24,16
927500,37.92,38,14
932500,42.74,31,19
937500,42.02,32,16
942500,38.96,28,13
947500,40.92,24,15
952500,43.08,34,23
957500,41.12,30,21
962500,38.2,40,16
967500,39.94,41,11
972500,37.66,37,17
977500,38.64,41,13
982500,38.82,35,20
987500,37.22,51,15
992500,38.8,40,18
997500,41.36,42,15
1002500,40.5,33,15
1007500,33.46,60,13
1012500,31.62,59,11
1017500,35.28,47,14
1022500,33.18,59,18
1027500,36.44,60,12
1032500,37.32,41,14
1037500,33.7,59,8
1042500,38.6,53,16
1047500,41.26,32,20
1052500,40.6,49,18
1057500,39.1,45,24
1062500,40.38,41,12
1067500,39.78,33,33
1072500,40.46,43,17
1077500,38.56,31,11
1082500,36.12,52,14
1087500,40.26,34,14
1092500,40.4,45,20
1097500,38.76,34,19
1102500,40.26,32,14
1107500,39.9,37,11
1112500,43.12,37,17
1117500,33.32,56,7
1122500,35.5,45,10
1127500,39.18,34,19
1132500,38.58,32,18
1137500,42.16,32,24
1142500,40.12,29,18
1147500,39.08,41,9
1152500,39.94,41,14
1157500,37.88,36,18
1162500,38.24,39,19
1167500,40.66,28,17
1172500,42.7,46,18
1177500,41.68,41,26
1182500,39.22,39,18
1187500,38.32,41,14
1192500,40.62,45,18
1197500,40.16,38,15
1202500,39.36,41,13
1207500,40.4,31,18
1212500,42.28,28,11
1217500,35.78,43,10
1222500,40.86,39,22
1227500,38.76,39,7
1232500,36.96,45,21
1237500,38.5,40,16
1242500,43.18,36,28
1247500,39.26,34,21
1252500,41.0,29,15
1257500,38.68,54,20
1262500,38.12,48,13
1267500,36.46,44,16
1272500,35.58,68,11
1277500,31.4,85,11
1282500,35.28,55,25
1287500,33.4,61,5
1292500,36.5,54,11
1297500,32.6,71,13
1302500,42.12,33,18
1307500,43.28,36,16
1312500,36.06,48,12
1317500,41.06,34,19
1322500,44.3,32,25
1327500,39.54,31,12
1332500,43.92,30,18
1337500,42.16,33,28
1342500,41.66,31,16
1347500,42.48,35,18
1352500,42.22,33,20
1357500,39.8,30,15
1362500,38.46,37,18
1367500,38.94,40,11
1372500,34.66,43,13
1377500,39.56,42,20
1382500,40.1,42,17
1387500,40.8,34,15
1392500,41.14,47,32
1397500,40.84,53,15
1402500,38.82,40,12
1407500,40.02,29,15
1412500,38.08,26,14
1417500,39.84,32,11
1422500,41.28,32,14
1427500,39.66,38,19
1432500,39.3,37,14
1437500,42.9,43,21
1442500,39.34,32,12
1447500,40.9,23,17
1452500,41.3,26,17
1457500,38.06,40,14
1462500,42.44,21,17
1467500,42.32,35,17
1472500,42.98,34,15
1477500,42.86,50,21
1482500,43.22,28,18
1487500,40.86,31,18
1492500,39.32,45,16
1497500,39.78,47,17
1502500,41.94,21,17
1507500,39.42,35,25
1512500,39.12,33,18
1517500,40.88,34,19
1522500,45.78,22,27
1527500,37.48,37,15
1532500,42.88,36,22
1537500,40.4,32,13
1542500,43.9,29,17
1547500,40.16,36,13
1552500,43.52,24,17
1557500,39.44,36,23
1562500,40.46,42,16
1567500,41.74,44,10
1572500,41.62,26,21
1577500,39.72,28,21
1582500,38.52,54,13
1587500,35.36,50,12
1592500,37.18,40,10
1597500,40.58,26,25
1602500,44.18,30,26
1607500,37.42,38,17
1612500,41.66,27,21
1617500,39.08,37,14
1622500,40.6,25,16
1627500,43.7,34,25
1632500,42.44,35,24
1637500,45.7,24,17
1642500,40.3,42,13
1647500,39.58,52,21
1652500,42.46,28,21
1657500,40.42,33,15
1662500,43.96,32,21
1667500,40.2,33,17
1672500,35.78,48,18
1677500,32.18,59,14
1682500,36.18,46,8
1687500,40.2,34,17
1692500,44.06,27,20
1697500,32.1,82,12
1702500,35.22,77,15
1707500,30.3,89,8
1712500,41.84,21,26
1717500,41.14,28,18
1722500,41.66,35,15
1727500,42.46,33,12
1732500,41.0,35,18
1737500,40.66,35,25
1742500,43.72,22,14
1747500,43.4,26,25
1752500,42.8,28,20
1757500,39.18,40,18
1762500,39.52,31,19
1767500,37.76,46,20
1772500,39.64,35,25
1777500,46.16,31,9
1782500,44.46,25,12
1787500,38.32,37,11
1792500,41.76,36,17
1797500,40.46,47,18
1802500,38.64,26,8
1807500,33.9,49,13
1812500,40.58,37,16
1817500,38.18,43,8
1822500,29.28,92,5
1827500,28.8,78,9
1832500,41.52,36,21
1837500,44.7,23,20
1842500,41.04,31,13
1847500,42.02,33,14
1852500,42.52,21,19
1857500,44.7,33,19
1862500,40.92,29,11
