Position,GC,MluCI,NlaIII
200,34.0,4,1
600,39.0,2,1
1000,38.25,4,1
1400,26.75,7,3
1800,30.5,12,0
2200,37.25,4,0
2600,38.75,2,2
3000,36.75,4,2
3400,39.25,5,0
3800,41.25,4,1
4200,34.25,6,1
4600,32.75,3,3
5000,35.25,3,0
5400,33.25,6,1
5800,28.75,8,1
6200,33.0,5,4
6600,39.75,2,0
7000,39.5,2,0
7400,37.75,2,2
7800,37.75,7,1
8200,29.0,8,0
8600,34.5,7,0
9000,32.0,7,0
9400,34.0,5,2
9800,31.75,1,0
10200,34.5,5,2
10600,38.25,7,2
11000,31.25,6,0
11400,31.25,7,0
11800,32.5,5,3
12200,31.25,6,0
12600,36.5,3,1
13000,46.5,1,0
13400,41.25,4,1
13800,38.75,6,2
14200,36.75,5,3
14600,34.75,2,2
15000,41.25,4,2
15400,39.75,5,1
15800,37.5,3,0
16200,34.25,1,0
16600,53.0,0,2
17000,50.5,1,1
17400,52.75,2,2
17800,54.0,0,2
18200,45.75,1,0
18600,48.75,0,0
19000,50.5,2,3
19400,48.75,2,0
19800,46.5,2,0
20200,50.0,3,2
20600,56.5,0,0
21000,44.25,2,2
21400,38.75,1,3
21800,36.0,2,0
22200,37.5,3,1
22600,37.25,2,1
23000,35.25,3,1
23400,27.25,11,1
23800,34.25,7,1
24200,38.75,4,2
24600,42.0,0,1
25000,40.75,3,0
25400,40.0,3,2
25800,41.25,3,0
26200,40.25,3,1
26600,34.75,0,1
27000,32.25,5,1
27400,34.75,0,1
27800,36.0,2,1
28200,31.25,3,0
28600,33.0,3,0
29000,33.0,2,1
29400,31.25,3,0
29800,37.75,7,0
30200,45.25,1,1
30600,38.0,5,2
31000,42.75,3,1
31400,38.5,5,2
31800,35.75,4,2
32200,38.5,3,0
32600,40.0,3,3
33000,37.0,2,1
33400,43.5,1,2
33800,39.75,3,1
34200,45.5,1,0
34600,35.75,4,1
35000,39.75,1,0
35400,37.25,9,0
35800,40.0,4,1
36200,37.75,3,1
36600,33.25,0,3
37000,35.0,5,1
37400,32.25,5,4
37800,30.0,9,2
38200,32.5,4,0
38600,39.75,0,1
39000,40.25,0,1
39400,39.75,2,1
39800,42.25,3,3
40200,33.0,5,0
40600,36.75,4,3
41000,35.5,7,4
41400,41.25,5,1
41800,42.5,0,4
42200,36.5,4,1
42600,37.25,0,1
43000,38.25,5,0
43400,34.0,8,0
43800,34.5,4,1
44200,37.0,3,1
44600,36.25,1,2
45000,41.0,8,2
45400,39.75,2,1
45800,34.5,5,0
46200,35.0,5,0
46600,39.75,3,2
47000,40.25,5,0
47400,39.75,3,0
47800,46.5,4,2
48200,37.75,5,0
48600,39.5,3,2
49000,37.0,4,2
49400,41.25,1,2
49800,44.25,0,3
50200,39.25,2,0
50600,47.75,2,0
51000,50.25,0,0
51400,44.5,3,2
51800,45.0,3,0
52200,40.75,4,0
52600,42.0,3,0
53000,39.25,6,0
53400,46.75,2,0
53800,37.5,2,0
54200,37.75,3,1
54600,40.5,1,2
55000,45.0,5,1
55400,43.25,2,2
55800,34.5,5,3
56200,42.0,2,3
56600,41.0,5,1
57000,39.5,3,1
57400,48.5,1,4
57800,45.0,1,2
58200,41.0,2,3
58600,37.5,2,1
59000,36.25,3,1
59400,43.25,5,3
59800,39.75,3,2
60200,32.75,3,1
60600,30.0,5,0
61000,32.75,7,0
61400,33.5,8,0
61800,37.25,6,0
62200,39.75,3,3
62600,43.25,1,1
63000,41.75,5,4
63400,27.5,6,0
63800,33.25,4,1
64200,37.5,3,0
64600,40.75,1,2
65000,44.0,2,0
65400,38.25,7,1
65800,43.0,3,1
66200,39.75,0,2
66600,50.25,3,1
67000,47.0,0,3
67400,48.0,1,2
67800,41.5,4,1
68200,37.25,3,0
68600,38.0,5,2
69000,38.25,2,1
69400,41.75,3,2
69800,43.0,3,3
70200,37.0,2,1
70600,36.0,6,0
71000,46.5,2,1
71400,41.25,4,1
71800,31.0,5,0
72200,47.75,1,0
72600,44.25,2,3
73000,41.25,3,0
73400,41.25,4,0
73800,46.0,3,0
74200,45.5,3,3
74600,42.0,4,1
75000,42.75,2,0
75400,43.75,0,0
75800,47.0,1,2
76200,46.5,1,2
76600,39.5,1,0
77000,46.75,2,1
77400,46.75,3,6
77800,46.5,3,5
78200,41.25,3,4
78600,41.75,4,1
79000,48.25,1,2
79400,47.5,2,3
79800,40.0,3,1
80200,29.0,6,2
80600,37.75,6,3
81000,35.5,4,0
81400,45.0,3,3
81800,44.0,0,0
82200,40.5,1,3
82600,40.25,2,1
83000,47.25,6,1
83400,45.25,4,3
83800,46.25,1,1
84200,46.25,4,0
84600,44.0,2,2
85000,32.25,6,0
85400,40.5,4,1
85800,40.0,3,1
86200,44.0,0,1
86600,43.0,4,2
87000,47.75,3,3
87400,49.25,2,0
87800,46.25,1,2
88200,50.0,3,1
88600,42.25,4,0
89000,41.75,1,0
89400,46.0,3,2
89800,40.75,3,3
90200,47.5,1,0
90600,46.25,4,2
91000,46.25,1,1
91400,50.5,0,3
91800,49.75,1,1
92200,40.5,6,0
92600,46.5,1,3
93000,29.75,5,0
93400,38.75,3,0
93800,46.25,1,1
94200,46.25,2,2
94600,48.5,0,1
95000,39.5,3,1
95400,49.5,2,3
95800,47.5,2,1
96200,48.25,1,1
96600,43.0,4,3
97000,51.75,0,4
97400,51.0,1,1
97800,46.25,1,1
98200,42.0,1,4
98600,43.25,3,2
99000,49.0,1,3
99400,46.5,0,2
99800,39.25,2,3
100200,43.75,1,1
100600,42.25,1,0
101000,40.0,4,1
101400,43.0,1,1
101800,42.0,2,2
102200,45.5,0,1
102600,43.0,1,0
103000,41.5,1,3
103400,38.75,1,0
103800,37.75,1,1
104200,34.0,5,2
104600,39.25,4,1
105000,27.0,11,0
105400,40.25,5,1
105800,45.5,3,4
106200,42.25,1,2
106600,40.25,2,0
107000,41.25,1,0
107400,39.0,4,0
107800,47.5,1,1
108200,42.75,1,0
108600,39.0,5,2
109000,41.75,2,3
109400,44.25,5,2
109800,41.0,2,2
110200,41.75,3,1
110600,43.5,3,3
111000,40.5,3,0
111400,44.0,1,1
111800,45.75,0,2
112200,39.0,2,1
112600,38.75,3,0
113000,46.5,1,2
113400,39.25,5,0
113800,34.75,2,0
114200,43.5,3,2
114600,41.75,2,4
115000,50.25,1,1
115400,44.75,2,1
115800,39.25,1,1
116200,38.25,2,1
116600,41.75,1,1
117000,44.0,0,2
117400,40.5,4,2
117800,44.75,2,0
118200,39.75,4,0
118600,41.75,1,1
119000,45.75,3,2
119400,43.0,2,1
119800,41.0,4,0
120200,40.75,1,0
120600,40.0,1,2
121000,43.5,1,2
121400,43.25,1,2
121800,44.0,1,3
122200,46.5,1,2
122600,45.0,2,2
123000,41.0,0,4
123400,37.0,2,2
123800,42.0,1,2
124200,41.75,3,3
124600,44.0,3,2
125000,46.5,2,4
125400,41.5,4,0
125800,43.5,2,0
126200,31.25,2,0
126600,34.25,0,0
127000,39.25,1,0
127400,32.0,5,1
127800,42.25,2,2
128200,41.0,2,0
128600,42.25,1,1
129000,44.75,0,2
129400,38.75,0,1
129800,38.0,4,0
130200,40.5,1,0
130600,37.75,4,1
131000,34.0,9,1
131400,39.25,5,1
131800,46.5,3,2
132200,39.25,1,1
132600,40.75,2,0
133000,44.25,3,1
133400,40.5,0,0
133800,39.0,2,1
134200,40.25,3,0
134600,38.5,3,2
135000,39.75,2,1
135400,42.75,3,2
135800,46.0,1,1
136200,40.25,3,3
136600,43.5,3,1
137000,42.75,1,6
137400,45.25,1,0
137800,33.0,5,0
138200,36.25,4,1
138600,31.75,3,1
139000,30.75,3,1
139400,44.0,2,0
139800,44.0,2,2
