Position,GC,MluCI,NlaIII
2500,35.2,65,8
7500,40.96,26,11
12500,41.6,29,14
17500,39.58,34,12
22500,37.32,32,13
27500,40.26,26,14
32500,39.48,32,12
37500,42.38,25,25
42500,39.7,27,13
47500,40.8,37,25
52500,43.54,27,15
57500,43.42,28,20
62500,41.34,33,13
67500,39.1,29,16
72500,40.44,31,16
77500,42.82,32,25
82500,41.8,33,19
87500,39.58,40,18
92500,38.28,39,12
97500,38.58,42,18
102500,37.66,34,11
107500,40.36,35,14
112500,35.22,51,24
117500,38.64,34,9
122500,39.62,26,11
127500,40.3,40,18
132500,41.98,34,17
137500,39.72,39,17
142500,30.72,62,7
147500,32.74,49,11
152500,41.28,31,20
157500,37.26,49,9
162500,42.24,30,16
167500,41.42,31,25
172500,40.98,29,20
177500,41.64,23,18
182500,40.3,41,12
187500,40.12,42,13
192500,39.34,40,18
197500,40.26,38,20
202500,41.38,26,14
207500,38.46,34,18
212500,39.18,35,18
217500,40.82,38,13
222500,40.24,59,22
227500,41.56,42,23
232500,40.68,28,21
237500,40.1,47,19
242500,35.74,49,11
247500,32.34,63,16
252500,31.82,60,6
257500,34.4,44,14
262500,40.76,36,16
267500,40.36,34,13
272500,42.06,26,20
277500,41.58,37,13
282500,41.92,37,18
287500,42.92,31,17
292500,42.06,31,26
297500,43.54,26,19
302500,40.22,28,10
307500,44.42,32,31
312500,39.9,36,19
317500,37.08,49,13
322500,43.12,39,20
327500,38.1,49,13
332500,31.3,77,13
337500,38.94,46,10
342500,40.2,47,28
347500,40.96,32,13
352500,40.52,30,29
357500,42.46,33,20
362500,36.3,49,23
367500,36.3,41,7
372500,41.18,36,22
377500,37.22,42,10
382500,40.64,35,12
387500,42.24,31,14
392500,39.34,42,14
397500,41.08,40,24
402500,40.2,45,16
407500,38.48,38,16
412500,41.28,38,17
417500,38.86,46,20
422500,43.32,39,19
427500,42.38,41,19
432500,38.42,39,18
437500,39.06,36,22
442500,38.28,39,13
447500,40.0,39,14
452500,37.76,39,14
457500,42.18,30,18
462500,40.0,28,21
467500,38.86,39,21
472500,39.22,36,9
477500,42.02,39,16
482500,40.44,37,9
487500,39.08,30,11
492500,40.12,30,22
497500,39.3,50,22
502500,39.7,38,13
507500,37.96,44,17
512500,37.2,35,12
517500,39.64,43,15
522500,40.98,35,28
527500,40.6,34,20
532500,38.44,50,15
537500,41.06,46,17
542500,41.3,32,19
547500,37.76,55,15
552500,34.94,55,19
557500,35.1,44,14
562500,35.32,41,9
567500,35.24,51,11
572500,42.92,28,18
577500,37.78,35,11
582500,41.5,37,16
587500,43.58,28,20
592500,40.28,26,14
597500,37.54,41,17
602500,42.0,30,13
607500,41.14,28,15
612500,40.1,33,19
617500,41.76,35,26
622500,34.22,47,11
627500,34.7,51,14
632500,38.26,26,13
637500,42.02,17,12
642500,41.58,44,14
647500,41.16,35,16
652500,41.84,30,18
657500,41.62,30,20
662500,41.86,31,8
667500,39.84,28,12
672500,43.84,34,12
677500,40.62,41,11
682500,42.24,29,10
687500,33.38,73,13
692500,32.72,55,5
697500,43.62,27,15
702500,41.62,30,15
707500,43.44,31,26
712500,36.88,47,25
717500,36.74,40,14
722500,39.54,39,10
727500,38.8,36,14
