Position,GC,MluCI,NlaIII
5000,38.08,91,19
15000,40.59,63,26
25000,38.79,58,27
35000,40.93,57,37
45000,40.25,64,38
55000,43.48,55,35
65000,40.22,62,29
75000,41.63,63,41
85000,40.69,73,37
95000,38.43,81,30
105000,39.01,69,25
115000,36.93,85,33
125000,39.96,66,29
135000,40.85,73,34
145000,31.73,111,18
155000,39.27,80,29
165000,41.83,61,41
175000,41.31,52,38
185000,40.21,83,25
195000,39.8,78,38
205000,39.92,60,32
215000,40.0,73,31
225000,40.9,101,45
235000,40.39,75,40
245000,34.04,112,27
255000,33.11,104,20
265000,40.56,70,29
275000,41.82,63,33
285000,42.42,68,35
295000,42.8,57,45
305000,42.32,60,41
315000,38.49,85,32
325000,40.61,88,33
335000,35.12,123,23
345000,40.58,79,41
355000,41.49,63,49
365000,36.3,90,30
375000,39.2,78,32
385000,41.44,66,26
395000,40.21,82,38
405000,39.34,83,32
415000,40.07,84,37
425000,42.85,80,38
435000,38.74,75,40
445000,39.14,78,27
455000,39.97,69,32
465000,39.43,67,42
475000,40.62,75,25
485000,39.76,67,20
495000,39.71,80,44
505000,38.83,82,30
515000,38.42,78,27
525000,40.79,69,48
535000,39.75,96,32
545000,39.53,87,34
555000,35.02,99,33
565000,35.28,92,20
575000,40.35,63,29
585000,42.54,65,36
595000,38.91,67,31
605000,41.57,58,28
615000,40.93,68,45
625000,34.46,98,25
635000,40.14,43,25
645000,41.37,79,30
655000,41.73,60,38
665000,40.85,59,20
675000,42.23,75,23
685000,37.81,102,23
695000,38.17,82,20
705000,42.53,61,41
715000,36.81,87,39
725000,39.17,75,24
735000,37.49,104,26
745000,39.99,65,36
755000,39.67,70,30
765000,40.23,93,32
775000,40.59,77,28
785000,40.67,74,28
795000,41.04,77,32
805000,37.74,82,21
815000,39.73,81,36
825000,40.05,62,41
835000,40.67,70,37
845000,39.08,67,24
855000,40.65,66,26
865000,39.42,71,33
875000,41.06,73,32
885000,40.94,51,37
895000,41.37,47,18
905000,40.29,80,30
915000,42.18,84,37
925000,42.34,51,38
935000,39.34,91,33
945000,40.96,55,40
955000,40.13,80,40
965000,39.93,80,29
975000,40.33,72,40
985000,41.47,63,26
995000,42.4,59,33
1005000,39.99,72,37
1015000,41.73,86,31
1025000,39.08,71,37
1035000,36.4,111,28
1045000,42.24,47,47
1055000,39.8,63,40
1065000,40.24,61,25
1075000,42.38,66,46
1085000,44.03,59,33
1095000,42.79,65,48
1105000,39.79,85,36
1115000,38.22,74,34
1125000,33.78,121,32
1135000,41.0,102,39
1145000,32.31,159,24
1155000,40.06,65,45
1165000,41.85,65,29
1175000,40.45,76,37
1185000,43.42,49,45
1195000,41.47,67,32
1205000,38.73,75,37
1215000,42.42,70,39
1225000,39.5,81,25
1235000,42.06,73,33
1245000,34.95,104,18
1255000,33.0,109,25
1265000,38.33,91,23
1275000,38.79,66,35
1285000,37.68,71,33
1295000,37.33,85,36
1305000,43.42,52,30
1315000,42.62,51,38
1325000,43.09,49,27
1335000,41.85,54,44
1345000,42.71,68,27
1355000,41.45,62,33
1365000,36.67,89,30
1375000,39.35,69,45
1385000,40.01,76,23
1395000,41.29,77,37
1405000,42.07,62,21
1415000,44.28,58,38
1425000,42.27,70,39
1435000,40.32,65,43
1445000,41.49,56,38
1455000,39.39,70,31
1465000,41.22,56,22
1475000,37.77,94,26
1485000,38.87,78,31
1495000,43.78,59,26
1505000,40.32,50,34
1515000,34.57,119,31
1525000,40.05,58,41
1535000,40.26,75,29
1545000,40.22,50,35
1555000,40.42,58,31
1565000,38.13,87,28
1575000,37.65,110,23
1585000,35.85,96,29
1595000,33.47,117,28
1605000,38.27,69,31
1615000,37.18,82,26
1625000,35.02,120,23
1635000,43.31,71,33
1645000,41.98,73,34
1655000,43.38,61,45
1665000,44.17,61,30
1675000,43.46,44,42
1685000,41.25,70,34
1695000,42.45,45,40
1705000,38.13,73,17
1715000,38.83,63,34
1725000,38.52,85,29
1735000,31.2,114,17
1745000,42.42,49,33
1755000,36.21,116,30
1765000,37.35,87,21
1775000,41.39,60,31
1785000,39.69,80,36
1795000,37.84,81,35
1805000,41.32,43,32
1815000,40.66,70,19
1825000,41.64,64,20
1835000,40.04,76,33
1845000,34.43,120,31
1855000,39.08,99,36
1865000,42.62,73,46
1875000,42.36,54,33
1885000,42.92,56,42
1895000,41.95,47,28
1905000,30.77,154,22
1915000,33.54,106,29
1925000,39.81,63,30
1935000,40.0,76,30
1945000,40.69,67,28
1955000,33.81,114,32
1965000,39.22,55,23
1975000,41.4,62,34
1985000,39.8,67,33
1995000,40.68,78,36
2005000,43.06,63,34
2015000,42.19,61,26
2025000,42.01,73,39
2035000,40.8,81,29
2045000,39.8,55,32
2055000,37.72,76,28
2065000,38.07,92,33
2075000,37.02,104,22
2085000,41.21,61,28
2095000,40.52,67,32
2105000,35.25,103,27
